Text Message,Manual or Machine,Positive,Negative,Neutral,Love,Joy,Sadness,Anger,Surprise,Fear
Yup,Manual,,,,,,,,,
Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,Manual,,,,,,,,,
S s..first time..dhoni rocks...,Manual,,,,,,,,,
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,Manual,,,,,,,,,
Gudnite....tc...practice going on,Manual,,,,,,,,,
"Sorry,in meeting I'll call later",Manual,,,,,,,,,
"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",Manual,,,,,,,,,
Oops my phone died and I didn't even know. Yeah I like it better.,Manual,,,,,,,,,
"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",Manual,,,,,,,,,
Welp apparently he retired,Manual,,,,,,,,,
I just lov this line: \Hurt me with the truth,Manual,,,,,,,,,
Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,Manual,,,,,,,,,
Did u download the fring app?,Manual,,,,,,,,,
Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,Manual,,,,,,,,,
Pls i wont belive god.not only jesus.,Manual,,,,,,,,,
Ok...,Manual,,,,,,,,,
